iter	Logloss
0	0.4157748
1	0.383261618
2	0.3708882114
3	0.3620067427
4	0.3532251602
5	0.3494433898
6	0.3460321083
7	0.3428629389
8	0.3399588528
9	0.3387644828
10	0.338401064
11	0.3350686199
12	0.3294077678
13	0.3282728925
14	0.3277629732
15	0.3264612917
16	0.3253725096
17	0.3245021505
18	0.3240970951
19	0.3229444282
20	0.3224452761
21	0.3224277196
22	0.3203038336
23	0.3147151456
24	0.309846962
25	0.3070810731
26	0.3029775747
27	0.3019228713
28	0.2980767199
29	0.2958964037
30	0.292266134
31	0.2914584903
32	0.2909571481
33	0.2908842466
34	0.2895356706
35	0.2894188975
36	0.2891410896
37	0.2851546498
38	0.2820275842
39	0.2788348556
40	0.2754890407
41	0.2693164053
42	0.2657679096
43	0.2650771498
44	0.2610926295
45	0.2577217189
46	0.2530719966
47	0.2501647491
48	0.249449953
49	0.2446830882
50	0.2418550316
51	0.2382694658
52	0.2345664726
53	0.2337498761
54	0.231261491
55	0.2281961872
56	0.2276194751
57	0.2253561242
58	0.221236541
59	0.2180682996
60	0.2160792651
61	0.2156718152
62	0.2123743094
63	0.2108924272
64	0.2077670203
65	0.2068793645
66	0.2061012412
67	0.2055354772
68	0.2047563709
69	0.2046104781
70	0.2037944885
71	0.2037589896
72	0.2034967604
73	0.2032934199
74	0.2030570663
75	0.2023861356
76	0.2021689401
77	0.2012906375
78	0.1992587423
79	0.1990547536
80	0.1973682283
81	0.1947932257
82	0.1944145602
83	0.1943374142
84	0.1943128607
85	0.1942490227
86	0.1898711528
87	0.1891491369
88	0.189064557
89	0.188947237
90	0.1866820754
91	0.1866486924
92	0.1842863317
93	0.1808969108
94	0.179987155
95	0.1757843145
96	0.1753001826
97	0.1746106332
98	0.1706024174
99	0.1695183355
100	0.1689006069
101	0.1686792745
102	0.1682479836
103	0.16748302
104	0.1650489282
105	0.1646773569
106	0.1643963803
107	0.1641012905
108	0.1616598356
109	0.1611379472
110	0.1607642363
111	0.1585081578
112	0.1575306347
113	0.1573213942
114	0.1573136861
115	0.1570698025
116	0.1566514383
117	0.1564309164
118	0.1562499053
119	0.1562375011
120	0.1561988126
121	0.1558378786
122	0.1554276526
123	0.1551158819
124	0.1548373832
125	0.1547902954
126	0.1546299321
127	0.1542951068
128	0.1542771964
129	0.1538484121
130	0.1533210301
131	0.1515924624
132	0.1508421525
133	0.1491856388
134	0.1484495661
135	0.1479118475
136	0.1477876097
137	0.1477087646
138	0.1473437289
139	0.1473273975
140	0.1449519803
141	0.1449187867
142	0.1448225326
143	0.1447457774
144	0.144722872
145	0.1443278645
146	0.1441697257
147	0.1441602072
148	0.1437279669
149	0.1433712652
150	0.1429993133
151	0.1427604029
152	0.1424275294
153	0.1409523032
154	0.1405684748
155	0.1405551691
156	0.1401478387
157	0.1389183096
158	0.1383622608
159	0.1383141946
160	0.1382826682
161	0.1380585419
162	0.1379361223
163	0.1378342396
164	0.1374482913
165	0.1370431163
166	0.1368245632
167	0.1365604586
168	0.1363765108
169	0.1360148289
170	0.1357239616
171	0.1353892186
172	0.135132287
173	0.1345915134
174	0.1345234665
175	0.1341727833
176	0.1340477942
177	0.1340216552
178	0.1337551278
179	0.1335231838
180	0.1331173475
181	0.1330103565
182	0.1327498255
183	0.1324840216
184	0.1324764502
185	0.132462203
186	0.1324252946
187	0.13215877
188	0.1321081613
189	0.1315492062
190	0.131176548
191	0.1310257367
192	0.1308991137
193	0.1308858744
194	0.1301630163
195	0.1299477663
196	0.1299197854
197	0.1294516267
198	0.1294023051
199	0.1293272906
200	0.1292329195
201	0.1290357497
202	0.1289607505
203	0.1285175665
204	0.128359657
205	0.1283539146
206	0.1280576386
207	0.1278617089
208	0.1276120441
209	0.1274549842
210	0.1269161415
211	0.1269093697
212	0.126440228
213	0.1263525017
214	0.1262748115
215	0.1260200433
216	0.1259893579
217	0.1258071367
218	0.1255589088
219	0.1253686192
220	0.125367405
221	0.1253620732
222	0.1251077602
223	0.1250225732
224	0.1250224135
225	0.1248635289
226	0.124624824
227	0.1245858628
228	0.1242945474
229	0.1242459946
230	0.124241106
231	0.1242048197
232	0.1241030133
233	0.1240648879
234	0.1240633709
235	0.1239477168
236	0.123921182
237	0.1237150743
238	0.1235284385
239	0.1234515624
240	0.1234191572
241	0.1232865207
242	0.1232505172
243	0.1232153581
244	0.1229817712
245	0.1229651768
246	0.1228535624
247	0.122784113
248	0.1227634407
249	0.1227513105
