iter	Passed	Remaining
0	9	2359
1	20	2562
2	36	2964
3	50	3106
4	66	3270
5	81	3300
6	93	3231
7	108	3276
8	123	3317
9	139	3359
10	156	3398
11	172	3412
12	188	3442
13	203	3426
14	223	3508
15	238	3491
16	254	3492
17	273	3519
18	289	3516
19	308	3544
20	332	3630
21	349	3626
22	372	3680
23	389	3669
24	406	3661
25	424	3659
26	442	3650
27	457	3627
28	476	3635
29	494	3625
30	511	3610
31	526	3586
32	542	3569
33	558	3550
34	575	3535
35	593	3525
36	608	3503
37	625	3489
38	640	3467
39	656	3446
40	672	3426
41	689	3414
42	705	3395
43	720	3373
44	736	3356
45	754	3344
46	770	3327
47	786	3310
48	803	3294
49	817	3271
50	835	3260
51	852	3244
52	868	3229
53	883	3206
54	901	3194
55	923	3199
56	943	3193
57	962	3186
58	986	3192
59	1004	3182
60	1021	3164
61	1036	3143
62	1052	3124
63	1067	3103
64	1084	3087
65	1099	3064
66	1116	3049
67	1131	3029
68	1147	3010
69	1159	2982
70	1174	2960
71	1190	2943
72	1206	2924
73	1222	2907
74	1238	2889
75	1252	2867
76	1267	2848
77	1285	2835
78	1302	2818
79	1317	2800
80	1334	2783
81	1353	2772
82	1368	2753
83	1383	2734
84	1399	2716
85	1414	2697
86	1427	2674
87	1439	2650
88	1456	2635
89	1471	2616
90	1487	2599
91	1503	2581
92	1516	2560
93	1531	2542
94	1546	2523
95	1563	2507
96	1576	2486
97	1588	2463
98	1606	2449
99	1618	2428
100	1634	2411
101	1649	2393
102	1664	2376
103	1681	2360
104	1697	2343
105	1712	2326
106	1724	2305
107	1739	2287
108	1754	2270
109	1770	2253
110	1785	2236
111	1801	2219
112	1817	2203
113	1833	2187
114	1849	2171
115	1865	2154
116	1881	2139
117	1898	2123
118	1915	2108
119	1931	2092
120	1947	2075
121	1961	2058
122	1974	2038
123	1989	2021
124	2005	2005
125	2020	1988
126	2037	1973
127	2052	1955
128	2066	1938
129	2082	1922
130	2099	1907
131	2117	1893
132	2133	1876
133	2153	1863
134	2167	1846
135	2182	1829
136	2197	1812
137	2213	1796
138	2225	1776
139	2240	1760
140	2257	1744
141	2272	1728
142	2287	1711
143	2302	1694
144	2318	1679
145	2334	1663
146	2348	1645
147	2364	1629
148	2378	1612
149	2390	1593
150	2405	1576
151	2419	1559
152	2436	1544
153	2450	1527
154	2466	1511
155	2479	1494
156	2491	1475
157	2507	1460
158	2520	1442
159	2536	1426
160	2549	1409
161	2565	1393
162	2579	1376
163	2638	1383
164	2702	1392
165	2719	1376
166	2764	1373
167	2779	1356
168	2801	1342
169	2832	1333
170	2849	1316
171	2867	1300
172	2884	1283
173	2901	1267
174	2918	1250
175	2937	1234
176	2954	1218
177	2975	1203
178	3089	1225
179	3105	1207
180	3207	1222
181	3271	1222
182	3390	1241
183	3423	1227
184	3456	1214
185	3478	1196
186	3498	1178
187	3519	1160
188	3548	1145
189	3568	1126
190	3587	1108
191	3633	1097
192	3650	1078
193	3667	1058
194	3684	1039
195	3697	1018
196	3717	1000
197	3730	979
198	3749	960
199	3765	941
200	3779	921
201	3798	902
202	3816	883
203	3830	863
204	3850	845
205	3863	825
206	3877	805
207	3891	785
208	3935	772
209	3952	752
210	3968	733
211	3985	714
212	4003	695
213	4017	675
214	4033	656
215	4046	636
216	4058	617
217	4073	598
218	4088	578
219	4107	560
220	4122	540
221	4140	522
222	4153	502
223	4169	483
224	4182	464
225	4200	446
226	4213	426
227	4230	408
228	4244	389
229	4255	370
230	4269	351
231	4284	332
232	4300	313
233	4314	295
234	4327	276
235	4342	257
236	4357	239
237	4379	220
238	4402	202
239	4422	184
240	4438	165
241	4454	147
242	4470	128
243	4486	110
244	4501	91
245	4518	73
246	4535	55
247	4549	36
248	4564	18
249	4581	0
